topic,rank,word,weight
0,1,united,21739.123510068242
0,2,state,19926.031685991013
0,3,said,14447.636302457942
0,4,official,10898.528900379213
0,5,government,10530.30094783722
0,6,nation,10497.3814469117
0,7,american,10086.546755795822
0,8,today,10066.543023568649
0,9,president,9060.741452186765
0,10,israel,7757.1067123663925
0,11,say,7227.544622130001
0,12,military,7214.1309687272205
0,13,country,6764.265682433711
0,14,war,6748.354136350905
0,15,israeli,6191.033333332535
0,16,iraq,6018.0333333324925
0,17,nuclear,5884.478356863683
0,18,minister,5726.334576157256
0,19,administration,5595.6066948140115
0,20,talk,5582.835682497415
1,1,new,43358.93270932391
1,2,school,30069.47027151605
1,3,york,26474.959201508882
1,4,said,20675.622983513884
1,5,city,18843.20717025181
1,6,state,16482.427294949935
1,7,company,15131.20188133681
1,8,executive,14975.626830187179
1,9,year,12766.632417856179
1,10,president,12044.209688462526
1,11,chief,10515.345256850615
1,12,student,9859.78747688042
1,13,board,9823.556560495479
1,14,public,8796.794537907506
1,15,group,8720.180722031882
1,16,agency,8648.972616289859
1,17,health,8565.674884965762
1,18,yesterday,8210.372635821188
1,19,director,7903.181309013445
1,20,chairman,7781.765456976446
2,1,music,12105.067179005664
2,2,night,8915.727423315086
2,3,theater,7709.551068614853
2,4,play,7334.074141085406
2,5,new,6015.710695837108
2,6,dance,5485.585646624016
2,7,performance,5227.8652477692885
2,8,la,4946.961081574414
2,9,stage,4695.515396345908
2,10,8220,4661.03333333237
2,11,8221,4637.033333332379
2,12,mr,4295.799739070696
2,13,musical,4228.108824761012
2,14,song,3888.949051121554
2,15,singer,3559.8191252286656
2,16,broadway,3519.4847150792198
2,17,rock,3502.2661547784924
2,18,review,3240.2874404963286
2,19,band,3239.4271908516503
2,20,audience,3220.524365096415
3,1,bank,20287.617100300802
3,2,year,15995.599403116696
3,3,oil,15027.341930827077
3,4,sale,12759.455168479848
3,5,percent,11287.062244691624
3,6,million,10294.608957445187
3,7,increase,9757.490379771027
3,8,rise,8651.217169339572
3,9,steel,8345.452725797732
3,10,industry,8211.567081749195
3,11,price,8206.128101443377
3,12,week,8091.330417194391
3,13,billion,7250.337639508167
3,14,trade,7094.805314037482
3,15,company,6904.736949575354
3,16,business,6745.832098102189
3,17,reserve,6360.204515084037
3,18,quarter,6239.640029948538
3,19,profit,6210.831512884054
3,20,production,6092.29972651034
4,1,court,25062.841842804988
4,2,case,19375.036406953684
4,3,charge,17343.178923733227
4,4,law,14350.608968476505
4,5,judge,13516.264296835907
4,6,trial,11348.816957067505
4,7,ct,9565.608562109604
4,8,suit,8871.709121487413
4,9,state,8733.916179231588
4,10,justice,8693.653111025811
4,11,federal,8526.958614333673
4,12,say,8438.643623795588
4,13,lawyer,7307.623403073111
4,14,appeal,7187.67588301605
4,15,order,7185.639904939858
4,16,hearing,6972.930374362755
4,17,inquiry,6480.437917196455
4,18,jury,6278.033333332538
4,19,rule,5897.958682639544
