topic,rank,word,weight
0,1,report,740391.1347954334
0,2,company,654590.285195003
0,3,000,631821.9367345397
0,4,year,356073.71174546034
0,5,million,340904.81636168406
0,6,share,338516.05069640034
0,7,percent,330136.331139212
0,8,inc,329726.1290071531
0,9,qtr,314660.29702505504
0,10,earnings,313985.20188844646
0,11,billion,260331.12227239917
0,12,30,257182.09265814789
0,13,31,241838.33292981554
0,14,bank,237569.8253312627
0,15,net,236592.71217466553
0,16,said,192677.20164109443
0,17,rate,180708.3373303864
0,18,lead,156467.70053209772
0,19,sale,153655.94552063657
0,20,corp,134987.11261740653
1,1,new,327934.936571644
1,2,art,294629.7752595087
1,3,music,231039.8805245923
1,4,show,189057.9884841336
1,5,york,173665.98173598514
1,6,museum,155754.0294734685
1,7,review,128156.94182107766
1,8,night,126841.00234901177
1,9,street,123090.13624302574
1,10,work,121117.84249146792
1,11,dance,116168.21989254293
1,12,hall,114043.30603376142
1,13,sunday,110236.27601882971
1,14,computer,109583.38677336981
1,15,performance,108932.35925735072
1,16,photo,108193.48102739881
1,17,play,106351.0903591152
1,18,concert,96070.77204158687
1,19,festival,93475.7777514941
1,20,opera,93319.9142381901
2,1,market,327426.4895704221
2,2,price,322809.7791181895
2,3,stock,219278.6121338723
2,4,week,168367.03665401117
2,5,new,140171.34879324865
2,6,business,122682.08352128268
2,7,day,102453.14307936525
2,8,exchange,101404.20513545796
2,9,sale,93173.44490283128
2,10,trade,92281.04630361816
2,11,oil,89043.187679862
2,12,yesterday,89038.7111127003
2,13,trading,88596.77327557017
2,14,rise,85436.42385397563
2,15,last,79801.78195754532
2,16,bond,78703.08228394773
2,17,point,78238.40629435952
2,18,future,70136.8039164468
2,19,food,65780.65293196087
2,20,level,65354.49027017036
3,1,title,150247.58640209763
3,2,club,134190.6620259928
3,3,win,131815.32694684187
3,4,trump,127291.02589462505
3,5,round,112931.41525446296
3,6,lead,93793.5502393877
3,7,today,92722.64229942224
3,8,world,85028.80053076604
3,9,final,84678.5987944344
3,10,team,82819.25763459661
3,11,cup,74649.27981990483
3,12,open,73136.28341246195
3,13,first,73051.93642271022
3,14,championship,72582.21495024429
3,15,golf,70846.35026116212
3,16,state,70229.45308865
3,17,woman,68551.46919793412
3,18,tournament,66987.61511831389
3,19,tennis,64169.23503734836
3,20,match,63574.53544686432
4,1,000,457069.306503584
4,2,new,432344.2954618213
4,3,city,305147.2238982342
4,4,million,238636.7538135747
4,5,building,189767.03411736418
4,6,year,178676.13285086234
4,7,street,176423.17843653294
4,8,york,175317.38872282155
4,9,home,150494.00458018587
4,10,center,138436.6751099246
4,11,car,137064.90502545843
4,12,park,114570.81915570801
4,13,manhattan,107455.89184448197
4,14,plant,106993.50458625627
4,15,house,104467.02792254754
4,16,project,103027.6023600908
4,17,avenue,99495.78263647614
4,18,area,99014.30696063416
4,19,plan,92325.2308748291
4,20,10,86530.79222853441
5,1,tv,117286.17616247463
5,2,san,110190.1912713323
5,3,nj,87491.03319797663
5,4,theater,84582.73976369985
5,5,ed,66542.17231027265
