topic,rank,word,weight
0,1,says,3639.6823526948297
0,2,court,2210.7789095353896
0,3,state,1973.128488523755
0,4,case,1653.922668188254
0,5,president,1642.4828173389405
0,6,house,1618.7723502152894
0,7,said,1558.5439900504023
0,8,federal,1452.399283538782
0,9,charges,1435.670630822647
0,10,law,1299.5835490880033
0,11,pres,1191.120888597891
0,12,campaign,1151.2184866866762
0,13,senate,1146.9701638518814
0,14,election,1142.915632619517
0,15,sen,1135.8146482223142
1,1,new,4707.919378263617
1,2,york,1859.4002799335535
1,3,art,1675.4095131707015
1,4,old,1552.8670641531505
1,5,years,1543.4089082515832
1,6,like,1452.4752995694014
1,7,music,1445.0999378725978
1,8,year,1442.842080672301
1,9,street,1431.778069197258
1,10,time,1391.6328802972137
1,11,life,1259.6262134563422
1,12,film,1215.020037241631
1,13,day,1096.4076898512424
1,14,american,1075.926997902805
1,15,people,1075.7236434203949
2,1,war,2183.467157107538
2,2,says,1914.0802423880393
2,3,united,1726.2198292287383
2,4,soviet,1590.0999382717937
2,5,world,1516.429689816792
2,6,states,1318.8482180165815
2,7,foreign,1287.7377658606836
2,8,today,1202.4419976348672
2,9,china,1181.0998957149293
2,10,talks,1109.9506085368864
2,11,president,1103.5934816781964
2,12,american,1067.7018621610544
2,13,french,1044.2252968705507
2,14,british,1036.9429442511512
2,15,france,1023.0937694766409
3,1,company,3813.8774144270706
3,2,new,2893.676309155131
3,3,said,1989.929607519308
3,4,reports,1935.9342044452967
3,5,business,1471.41179552475
3,6,york,1210.8845272755923
3,7,million,1199.3796758781377
3,8,companies,919.1211587554925
3,9,news,918.0913492233742
3,10,executive,899.56965728067
3,11,article,869.9617253784
3,12,times,809.1526270684052
3,13,earnings,772.717247650611
3,14,chief,764.3698760239024
3,15,corporation,744.3790966389967
4,1,new,5049.830315565169
4,2,city,3799.600869337517
4,3,state,2533.432117535544
4,4,plan,2096.4851261182594
4,5,plans,1559.2808738244144
4,6,york,1438.9761446170066
4,7,jersey,1360.8114063038502
4,8,school,1304.9836576595137
4,9,building,1177.0480864623291
4,10,aid,1145.1633624302417
4,11,program,1112.6830085975641
4,12,board,1084.0023853926746
4,13,county,997.4957333741686
4,14,schools,953.3772844527089
4,15,union,878.8235932154497
5,1,police,2073.917524393931
5,2,air,1531.3689521903823
5,3,killed,1375.0999573073757
5,4,army,1293.7058909803807
5,5,said,1044.539933625039
5,6,strike,894.335194026969
5,7,man,746.0702677060872
5,8,car,716.1155800447654
5,9,men,711.7386778688098
5,10,near,706.7911397811976
5,11,navy,665.4570518884407
5,12,today,621.8690023325605
5,13,war,621.3465831234704
5,14,city,612.7343314100995
5,15,plane,611.0999518063483
6,1,today,2726.824556902587
6,2,game,2192.999953465888
6,3,team,1857.0994699961766
6,4,wins,1676.0767573146456
6,5,8208,1607.4197529873904
6,6,league,1558.3704428286933
6,7,victory,1517.0511418851797
6,8,new,1441.637276012944
6,9,club,1255.7730738469775
6,10,8212,1192.2502993577004
6,11,ap,1164.064098431667
6,12,second,1162.6986558173676
6,13,season,1153.0678968388206
6,14,national,1142.1621418526797
6,15,title,1124.4620075647517
7,1,mrs,4442.807396010652
7,2,new,2535.222126556801
7,3,dr,2384.9367334708995
7,4,mr,2333.858657175996
7,5,york,1939.4811732232408
7,6,miss,1897.549666104862
7,7,son,1823.0999333997913
7,8,john,1748.7180226876749
7,9,president,1671.2503683206637
7,10,daughter,1529.0999676965114
7,11,church,1472.2954620575317
7,12,st,1471.5130306298915
7,13,dies,1415.0812381709648
7,14,university,1402.2989624603
7,15,years,1382.4669967272837
8,1,new,1791.5820706028803
8,2,prices,1728.0782145374199
8,3,market,1714.7058981255414
8,4,week,1643.5654308813482
8,5,stock,1079.4101387741348
8,6,exchange,1012.721121659491
8,7,trade,990.6814220397783
8,8,books,936.8947735037198
8,9,yesterday,894.1771140026067
8,10,trading,864.2528731209039
8,11,price,844.6583644629703
8,12,95,830.6522962702948
8,13,day,754.5319279184305
8,14,book,737.4228525596085
8,15,york,725.2919080980628
9,1,000,11030.0242251737
9,2,reports,2454.265722913322
9,3,year,2331.0764211397577
9,4,million,2146.4636166294013
9,5,company,1759.7808226805546
9,6,share,1694.818247740114
9,7,percent,1661.9289852540057
9,8,30,1653.4586599549082
9,9,net,1631.8913254665474
9,10,bank,1471.448759973281
9,11,31,1421.5389626514702
9,12,qtr,1380.319286133317
9,13,earnings,1357.4827443250324
9,14,10,1318.4877887491227
9,15,sales,1316.6103740677931
